iter	MultiClass
0	1.846836402
1	1.767104684
2	1.702067073
3	1.652400559
4	1.605971287
5	1.567364202
6	1.535336413
7	1.507298819
8	1.480837932
9	1.460468681
10	1.443090501
11	1.427044456
12	1.41343466
13	1.399591104
14	1.384708669
15	1.373411601
16	1.362252603
17	1.353560602
18	1.343834547
19	1.335361885
20	1.327115073
21	1.323355946
22	1.318541391
23	1.312800959
24	1.308870673
25	1.304795383
26	1.300328174
27	1.295961536
28	1.29220663
29	1.28814094
30	1.285499357
31	1.281578556
32	1.278447748
33	1.274945108
34	1.272517537
35	1.270844113
36	1.268690019
37	1.265447021
38	1.262329312
39	1.260089409
40	1.257814033
41	1.254272924
42	1.251699358
43	1.2490935
44	1.246200861
45	1.243612137
46	1.24150983
47	1.239451743
48	1.237088217
49	1.234988048
50	1.232990179
51	1.230462152
52	1.228743739
53	1.22761068
54	1.225935494
55	1.224080916
56	1.222496931
57	1.220708854
58	1.218358584
59	1.216766277
60	1.215025967
61	1.213638089
62	1.211956503
63	1.210330642
64	1.209158514
65	1.207819202
66	1.207024905
67	1.205327901
68	1.203741737
69	1.202429242
70	1.20098517
71	1.199629009
72	1.198147003
73	1.19700058
74	1.196044201
75	1.194753289
76	1.192613684
77	1.191405107
78	1.190023752
79	1.188137779
80	1.186822012
81	1.184555367
82	1.183125674
83	1.182170366
84	1.181003132
85	1.179550601
86	1.178457432
87	1.177197745
88	1.17601393
89	1.174310507
90	1.173415347
91	1.17198593
92	1.171298372
93	1.170068452
94	1.168991809
95	1.16786997
96	1.166602566
97	1.165399255
98	1.164173488
99	1.163291844
100	1.162169375
101	1.161012373
102	1.15933813
103	1.158521793
104	1.156993491
105	1.155631217
106	1.154478056
107	1.152824641
108	1.150445391
109	1.149341738
110	1.148415905
111	1.147350612
112	1.146454858
113	1.145301141
114	1.143867252
115	1.143038379
116	1.14185316
117	1.140901663
118	1.140340012
119	1.139067871
120	1.137902892
121	1.136908422
122	1.136163169
123	1.135024626
124	1.133982216
125	1.133230125
126	1.132289999
127	1.130860909
128	1.129557499
129	1.128720446
130	1.127920256
131	1.126834727
132	1.126309358
133	1.12518973
134	1.124457903
135	1.12323755
136	1.122255973
137	1.121254517
138	1.120553898
139	1.119419196
140	1.118178522
141	1.117197943
142	1.11634615
143	1.115698716
144	1.114551052
145	1.11345694
146	1.112499741
147	1.111827723
148	1.110743541
149	1.109929839
150	1.108556684
151	1.107735753
152	1.106850943
153	1.10574453
154	1.104931393
155	1.103322418
156	1.102316233
157	1.101536403
158	1.100650973
159	1.100091897
160	1.099103875
161	1.098175479
162	1.097222387
163	1.096180483
164	1.094929942
165	1.093847046
166	1.092651813
167	1.0922591
168	1.091129439
169	1.089623795
170	1.088946453
171	1.087770076
172	1.087058506
173	1.0860793
174	1.085454268
175	1.084427198
176	1.083836008
177	1.083147832
178	1.082414192
179	1.081557247
180	1.080834042
181	1.079949214
182	1.078540939
183	1.077715529
184	1.076727966
185	1.076090568
186	1.075096147
187	1.074002192
188	1.073420604
189	1.072541755
190	1.071315089
191	1.070310452
192	1.069322363
193	1.068417467
194	1.067154636
195	1.066357649
196	1.065129317
197	1.064090287
198	1.063015519
199	1.061809446
200	1.06093021
201	1.059711788
202	1.058857589
203	1.057700551
204	1.05702651
205	1.056119472
206	1.055310196
207	1.054421716
208	1.053510531
209	1.052688659
210	1.051707431
211	1.05090313
212	1.049657771
213	1.048863397
214	1.048026249
215	1.047363715
216	1.046571878
217	1.045039419
218	1.044415817
219	1.043667048
220	1.043009619
221	1.042200261
222	1.041679219
223	1.040946271
224	1.040034861
225	1.03964771
226	1.038674384
227	1.037977142
228	1.037251093
229	1.036545708
230	1.035732405
231	1.034468581
232	1.033159012
233	1.032698566
234	1.031967112
235	1.031267774
236	1.030863013
237	1.030295942
238	1.029615556
239	1.028995137
240	1.02826794
241	1.027817591
242	1.026877012
243	1.026099183
244	1.025121361
245	1.024450392
246	1.023564532
247	1.022755287
248	1.022117983
249	1.020625112
250	1.020064605
251	1.019233411
252	1.018714639
253	1.017919053
254	1.017138999
255	1.016522788
256	1.015528583
257	1.015107756
258	1.014566855
259	1.013716049
260	1.013031528
261	1.012168485
262	1.011770802
263	1.010887871
264	1.01011993
265	1.009302946
266	1.008644536
267	1.007904769
268	1.007304348
269	1.00650502
270	1.005625258
271	1.004954565
272	1.004228493
273	1.003742336
274	1.002533368
275	1.001596932
276	1.000925302
277	1.000377762
278	0.9997159351
279	0.9991832081
280	0.9987001335
281	0.9980861634
282	0.9971484411
283	0.9962936124
284	0.9952248058
285	0.994360969
286	0.9934866396
287	0.9927143399
288	0.9919720037
289	0.9913770255
290	0.9906522351
291	0.990052699
292	0.9893966016
293	0.9883321164
294	0.9875135908
295	0.9864823793
296	0.9857925977
297	0.9848787955
298	0.9837813218
299	0.9834842065
300	0.9826129473
301	0.9815885979
302	0.9812031835
303	0.9807100425
304	0.9798365679
305	0.9792587748
306	0.9786074445
307	0.9778353525
308	0.9769083863
309	0.9752571888
310	0.9745656318
311	0.974160573
312	0.973533389
313	0.9728115736
314	0.9720362562
315	0.9715212815
316	0.9704857504
317	0.9696791614
318	0.9690693329
319	0.9686696108
320	0.9680848026
321	0.9669445095
322	0.9663687571
323	0.9652670567
324	0.9645033933
325	0.9636507635
326	0.9630770228
327	0.9622445848
328	0.961392894
329	0.9604992097
330	0.959630561
331	0.9589189938
332	0.9580945265
333	0.9572162733
334	0.9567944767
335	0.9562040334
336	0.9553994295
337	0.954218643
338	0.9535779826
339	0.9528094153
340	0.9518128578
341	0.9508266201
342	0.9504458895
343	0.9495138306
344	0.9484506519
345	0.9477583334
346	0.9472054038
347	0.9465391958
348	0.9461222574
349	0.945409575
350	0.9448521938
351	0.9438592076
352	0.9434152509
353	0.9428490531
354	0.9416873183
355	0.9407473356
356	0.9403102636
357	0.9398424214
358	0.9395302835
359	0.9389129832
360	0.9381254609
361	0.9369661255
362	0.9363417451
363	0.9355004411
364	0.9349338485
365	0.9345618395
366	0.9339316884
367	0.9333145447
368	0.9323776491
369	0.93165617
370	0.9310714338
371	0.9301318009
372	0.9297929423
373	0.9291794136
374	0.9285817023
375	0.9276826266
376	0.9270727589
377	0.9265533695
378	0.9261969247
379	0.9251411903
380	0.9245230669
381	0.9239208608
382	0.9234987886
383	0.9225446193
384	0.9220496503
385	0.9215710021
386	0.9208096495
387	0.9203864527
388	0.9198904778
389	0.9191328091
390	0.9183373865
391	0.9174096717
392	0.9163159313
393	0.9157619378
394	0.9151025225
395	0.9145368315
396	0.9135569668
397	0.9129795358
398	0.9122470378
399	0.9115327483
400	0.9107678291
401	0.9101710283
402	0.9093805718
403	0.9086973842
404	0.9080431234
405	0.9077753023
406	0.9072463643
407	0.906549577
408	0.9060269997
409	0.9049418636
410	0.9045174461
411	0.904094201
412	0.9034284834
413	0.9028123827
414	0.9020708695
415	0.9012975996
416	0.9006097684
417	0.8994427113
418	0.8988187195
419	0.8982398545
420	0.8975175735
421	0.897128988
422	0.8965653778
423	0.8962596175
424	0.8954414193
425	0.8950870759
426	0.8945503445
427	0.8942649874
428	0.8936099843
429	0.8930960832
430	0.8924898053
431	0.8916447829
432	0.8911004998
433	0.8902053405
434	0.8895360601
435	0.8887830949
436	0.8880258807
437	0.8874052218
438	0.8869833325
439	0.8864958107
440	0.8858415502
441	0.8852135375
442	0.8845563919
443	0.8840215597
444	0.8836523657
445	0.8831189237
446	0.8818365455
447	0.8813948711
448	0.8806692333
449	0.8799483792
450	0.8793934324
451	0.878764574
452	0.8779265587
453	0.8772569025
454	0.876625016
455	0.876047349
456	0.8753397209
457	0.8748680896
458	0.8742710164
459	0.8738669093
460	0.8731261778
461	0.8725357116
462	0.8715116272
463	0.8709251806
464	0.8704043688
465	0.8698358693
466	0.8692975626
467	0.8687028194
468	0.8676830289
469	0.8671622713
470	0.8666373864
471	0.8662697849
472	0.8654628907
473	0.8649200944
474	0.8642534712
475	0.8631479817
476	0.8624790415
477	0.8616786236
478	0.8609349758
479	0.8604249036
480	0.8593628577
481	0.858836244
482	0.8583158305
483	0.8577682056
484	0.8572938034
485	0.8565461955
486	0.8557091127
487	0.8552046288
488	0.8543362771
489	0.8535014249
490	0.852980011
491	0.8524763611
492	0.8521235647
493	0.851762638
494	0.8509681572
495	0.8503423177
496	0.8496834068
497	0.8489904686
498	0.8484714084
499	0.8482599888
500	0.8477760682
501	0.8471312837
502	0.8463958124
503	0.8460546264
504	0.8451537525
505	0.8447403358
506	0.8440492465
507	0.8434074205
508	0.8431802653
509	0.8428341093
510	0.8424258755
511	0.8415911506
512	0.8409505025
513	0.8404449811
514	0.8397565558
515	0.8389355235
516	0.8383518062
517	0.8374314496
518	0.8369559108
519	0.8366794298
520	0.836289885
521	0.8357194616
522	0.8351373095
523	0.8344610844
524	0.8336538891
525	0.8330579517
526	0.832360563
527	0.8321234838
528	0.8315766437
529	0.8309413187
530	0.8303914109
531	0.8297899494
532	0.8290143309
533	0.8286684329
534	0.8277846605
535	0.8273151132
536	0.8268804952
537	0.8264432958
538	0.8259375443
539	0.8253872103
540	0.8247958206
541	0.8241262666
542	0.8235945539
543	0.822953571
544	0.8222486539
545	0.8219064758
546	0.8215454849
547	0.8207011205
548	0.8202231032
549	0.8196474867
550	0.8190377363
551	0.8183494345
552	0.8175142503
553	0.8167102058
554	0.8161494094
555	0.8156136171
556	0.8148967929
557	0.8144962186
558	0.813856446
559	0.8132740808
560	0.8127702628
561	0.8124174543
562	0.8117817869
563	0.810810725
564	0.810190827
565	0.8096919804
566	0.8091671068
567	0.8084567094
568	0.8080650521
569	0.8074373359
570	0.8070876554
571	0.8065980583
572	0.8061960376
573	0.805736023
574	0.8048684444
575	0.804456527
576	0.8040364812
577	0.8036368876
578	0.8031694413
579	0.8024576538
580	0.8018409678
581	0.8011596578
582	0.8003504516
583	0.7997537584
584	0.799437819
585	0.7990101551
586	0.7983607165
587	0.7978002995
588	0.797304157
589	0.7969992798
590	0.7964763168
591	0.7959447635
592	0.7952767678
593	0.7946834338
594	0.7941374675
595	0.7935785247
596	0.7932969614
597	0.7927482503
598	0.7923655601
599	0.7919490794
600	0.7916127502
601	0.7910889836
602	0.7903674974
603	0.7895946479
604	0.7888716789
605	0.788369314
606	0.787826202
607	0.7873154151
608	0.7868409914
609	0.7864137708
610	0.785925252
611	0.7854548201
612	0.7845781786
613	0.7841571643
614	0.7838650328
615	0.783444617
616	0.7827322244
617	0.7818475069
618	0.7813858367
619	0.7810196424
620	0.780574044
621	0.7801827723
622	0.7798016205
623	0.7793393957
624	0.7788279851
625	0.7783567572
626	0.777994435
627	0.7775947865
628	0.7768734606
629	0.775912093
630	0.7753213221
631	0.7751401237
632	0.7746634278
633	0.7742502727
634	0.7737099105
635	0.7732686263
636	0.7730240231
637	0.7721189015
638	0.7717914249
639	0.7714561425
640	0.7709766201
641	0.7705578811
642	0.7702028694
643	0.7696599478
644	0.7691833499
645	0.7688314832
646	0.7682293574
647	0.7677900797
648	0.7673246497
649	0.7667557165
650	0.7660619241
651	0.7656606157
652	0.7651388964
653	0.7643895249
654	0.7639429737
655	0.7638506743
656	0.7635791514
657	0.7632233726
658	0.7627006616
659	0.762222664
660	0.761913605
661	0.7614321891
662	0.7608840557
663	0.7605625871
664	0.7600536748
665	0.7595573721
666	0.7591282935
667	0.7585683012
668	0.7580403465
669	0.7576447905
670	0.7573219241
671	0.7567517008
672	0.75647895
673	0.7561425251
674	0.7555877637
675	0.7553256984
676	0.7548393784
677	0.7539256143
678	0.7531165647
679	0.752750812
680	0.7522332565
681	0.7516256253
682	0.7512281929
683	0.7505970451
684	0.750049611
685	0.7495698133
686	0.7492209608
687	0.7488419824
688	0.7484881565
689	0.7480252801
690	0.7474127148
691	0.7470844404
692	0.7466258449
693	0.7457059889
694	0.7451356665
695	0.7446735323
696	0.7441104525
697	0.7437949381
698	0.74298507
699	0.7422449741
700	0.7419436985
701	0.7413082997
702	0.7409116838
703	0.7403522565
704	0.740073227
705	0.739610149
706	0.7392639078
707	0.7387738091
708	0.7382284751
709	0.7379015911
710	0.7374454343
711	0.7371633955
712	0.736806144
713	0.7363418782
714	0.7358494887
